
Test: Connect / Disconnect

Test: Disconnect during reco cancels.
Sent: undefined | undefined | privBody: {} | privMessageType: 0 | privHeaders: {"Path":"speech.context","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.903Z","Content-Type":"application/json"} | privId: 539AB92470184E49BA498BAB5D16D647 | privSize: 2 | privPath: speech.context | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: application/json | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {"context":{"system":{"name":"SpeechSDK","version":"1.14.0-alpha.0.1","build":"JavaScript","lang":"JavaScript"},"os":{"platform":"Browser/","name":"Mozilla/5.0 (win32) AppleWebKit/537.36 (KHTML, like Gecko) jsdom/16.2.2","version":"4.0"},"audio":{"source":{"bitspersample":16,"channelcount":1,"connectivity":"Unknown","manufacturer":"Speech SDK","model":"PullStream","samplerate":16000,"type":"Stream"}}},"recognition":"conversation"} | privMessageType: 0 | privHeaders: {"Path":"speech.config","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.899Z","Content-Type":"application/json"} | privId: 05435C86D25F48278C60B301BEE8A0DE | privSize: 434 | privPath: speech.config | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: application/json | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.911Z"} | privId: C4095104B94149D1B4D902BF21E9F0FB | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.913Z"} | privId: 6E2C931BAECB49A5A594480D76F2B965 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.915Z"} | privId: ED1850A6384C46E98858E48D61EAF7CC | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.905Z","Content-Type":"audio/x-wav"} | privId: 02683888C16B45AEB46A6813AD33F9F1 | privSize: 44 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: audio/x-wav | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.917Z"} | privId: 6E7FB379F50D47C0A456836EE4652B0F | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.927Z"} | privId: 297F8D1FD6694B648204F6FD7EAB4054 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.925Z"} | privId: CE260753536F4EDAA11007D663F39AB5 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.908Z"} | privId: E127B6A4C56D4C5BB0F9740E766D2AEF | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.931Z"} | privId: F971902D03AF4B08B3C961F69ECA0F61 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
